name,slug,area_name,address,nearest_station,description,website_url,source_url,prefecture,city,google_place_id,is_approved,is_active
いすみ市岬ふれあい会館,いすみ市岬ふれあい会館,いすみ市,千葉県いすみ市岬町東中滝720-1,,,https://www.city.isumi.lg.jp/soshikikarasagasu/shogaigakushuka/fureai.html,https://www.zenkoubun.jp/search/hall_0120437.html,千葉県,いすみ市,,true,true
佐倉市民音楽ホール(佐倉ハーモニーホール),佐倉市民音楽ホール-佐倉ハーモニーホール,佐倉市,千葉県佐倉市王子台一丁目16番地,,,https://www.city.sakura.lg.jp/section/ongaku-hall/,https://www.zenkoubun.jp/search/hall_0120422.html,千葉県,佐倉市,,true,true
八千代市市民会館,八千代市市民会館,八千代市,千葉県八千代市萱田町728,,,https://ycp.or.jp/civic_hall/,https://www.zenkoubun.jp/search/hall_0120402.html,千葉県,八千代市,,true,true
勝浦市芸術文化交流センター(Küste(キュステ)),勝浦市芸術文化交流センター-küste-キュステ,勝浦市,千葉県勝浦市沢倉523番地1,,,https://www.kuste.jp/,https://www.zenkoubun.jp/search/hall_0122523.html,千葉県,勝浦市,,true,true
千葉市文化センター,千葉市文化センター,千葉市,千葉県千葉市中央区中央2-5-1,,,https://www.f-cp.jp/bunka.html,https://www.zenkoubun.jp/search/hall_0120401.html,千葉県,千葉市,,true,true
千葉市民会館,千葉市民会館,千葉市,千葉県千葉市中央区要町1-1,,,https://www.f-cp.jp/shimin/,https://www.zenkoubun.jp/search/hall_0120403.html,千葉県,千葉市,,true,true
千葉市美浜文化ホール,千葉市美浜文化ホール,千葉市,千葉県千葉市美浜区真砂5丁目15-2,,,http://chiba-aw.jp/mihama,https://www.zenkoubun.jp/search/hall_0122324.html,千葉県,千葉市,,true,true
千葉市若葉文化ホール,千葉市若葉文化ホール,千葉市,千葉県千葉市若葉区千城台西2-1-1,,,http://chiba-aw.jp/wakaba,https://www.zenkoubun.jp/search/hall_0120429.html,千葉県,千葉市,,true,true
千葉県南総文化ホール,千葉県南総文化ホール,館山市,千葉県館山市北条740-1,,,https://www.cbs.or.jp/nanso/,https://www.zenkoubun.jp/search/hall_0120438.html,千葉県,館山市,,true,true
千葉県文化会館,千葉県文化会館,千葉市,千葉県千葉市中央区市場町11-2,,,http://www.cbs.or.jp/chiba/index.html,https://www.zenkoubun.jp/search/hall_0120400.html,千葉県,千葉市,,true,true
千葉県東総文化会館,千葉県東総文化会館,旭市,千葉県旭市ハの666番地,,,https://www.cbs.or.jp/toso/,https://www.zenkoubun.jp/search/hall_0120428.html,千葉県,旭市,,true,true
千葉県福祉ふれあいプラザ(ふれあいホール),千葉県福祉ふれあいプラザ-ふれあいホール,我孫子市,千葉県我孫子市本町3-1-2,,,http://www.furepla.jp/,https://www.zenkoubun.jp/search/hall_0122352.html,千葉県,我孫子市,,true,true
印西市文化ホール,印西市文化ホール,印西市,千葉県印西市大森2535,,,https://www.inzai-bunka.jp,https://www.zenkoubun.jp/search/hall_0120433.html,千葉県,印西市,,true,true
君津市民文化ホール,君津市民文化ホール,君津市,千葉県君津市三直622番地,,,http://www.kimibun.jp/,https://www.zenkoubun.jp/search/hall_0120426.html,千葉県,君津市,,true,true
四街道市文化センター,四街道市文化センター,四街道市,千葉県四街道市大日396,,,http://www.yotsu-foundation.or.jp/bunka/,https://www.zenkoubun.jp/search/hall_0120419.html,千葉県,四街道市,,true,true
多古町コミュニティプラザ文化ホール,多古町コミュニティプラザ文化ホール,香取郡多古町,千葉県香取郡多古町多古2855,,,https://www.town.tako.chiba.jp/,https://www.zenkoubun.jp/search/hall_0121486.html,千葉県,香取郡多古町,,true,true
富津市民会館,富津市民会館,富津市,千葉県富津市湊765-1,,,https://www.city.futtsu.lg.jp/0000000172.html,https://www.zenkoubun.jp/search/hall_0121483.html,千葉県,富津市,,true,true
山武市成東文化会館のぎくプラザ,山武市成東文化会館のぎくプラザ,山武市,千葉県山武市殿台290-1,,,https://www.city.sammu.lg.jp/page/dir000122.html,https://www.zenkoubun.jp/search/hall_0120436.html,千葉県,山武市,,true,true
市原市市民会館,市原市市民会館,市原市,千葉県市原市惣社1-1-1,,,https://ichiharahall.or.jp/,https://www.zenkoubun.jp/search/hall_0120404.html,千葉県,市原市,,true,true
市川市八幡市民会館(全日警ホール),市川市八幡市民会館-全日警ホール,市川市,千葉県市川市八幡4-2-1,,,https://www.city.ichikawa.lg.jp/cul01/1111000075.html,https://www.zenkoubun.jp/search/hall_0122612.html,千葉県,市川市,,true,true
市川市文化会館,市川市文化会館,市川市,千葉県市川市大和田1-1-5,,,https://www.tekona.net/bunkakaikan/,https://www.zenkoubun.jp/search/hall_0120421.html,千葉県,市川市,,true,true
市川市行徳公会堂(行徳文化ホールI＆I (あいあい)),市川市行徳公会堂-行徳文化ホールi-i-あいあい,市川市,千葉県市川市末広1丁目1番48号,,,https://www.tekona.net/gyotoku/,https://www.zenkoubun.jp/search/hall_0122362.html,千葉県,市川市,,true,true
成田国際文化会館,成田国際文化会館,成田市,千葉県成田市土屋303,,,http://www.narita-bunka.jp,https://www.zenkoubun.jp/search/hall_0120411.html,千葉県,成田市,,true,true
成田市大栄公民館,成田市大栄公民館,成田市,千葉県成田市松子393,,,https://www.city.narita.chiba.jp/shisetsu/page000140.html,https://www.zenkoubun.jp/search/hall_0120430.html,千葉県,成田市,,true,true
東金文化会館,東金文化会館,東金市,千葉県東金市八坂台1丁目2107-3,,,https://www.tobunspo.or.jp,https://www.zenkoubun.jp/search/hall_0120423.html,千葉県,東金市,,true,true
松戸市文化会館(森のホール21),松戸市文化会館-森のホール21,松戸市,千葉県松戸市千駄堀646-4,,,http://www.morinohall21.com/,https://www.zenkoubun.jp/search/hall_0120417.html,千葉県,松戸市,,true,true
松戸市民会館,松戸市民会館,松戸市,千葉県松戸市松戸1389-1,,,http://www.city.matsudo.chiba.jp//shisetsu-guide/kaikan_hole/shiminkaikan/index.html,https://www.zenkoubun.jp/search/hall_0121485.html,千葉県,松戸市,,true,true
柏市民文化会館,柏市民文化会館,柏市,千葉県柏市柏下107,,,http://www.kashiwa-sbk.com/,https://www.zenkoubun.jp/search/hall_0120407.html,千葉県,柏市,,true,true
流山市文化会館,流山市文化会館,流山市,千葉県流山市加1-16-2,,,http://www.city.nagareyama.chiba.jp/life/1001854/index.html,https://www.zenkoubun.jp/search/hall_0120405.html,千葉県,流山市,,true,true
